Nom_UTF Nom_ASCII Noms_Alternatius Latitud Longitud CodiToponim Poblacio
Pic_de_la_Tosa_de_Juclar Pic_de_la_Tosa_de_Juclar NULL 42.6 1.71667 PK 0
Collada_de_la_Tosa_de_Caraup Collada_de_la_Tosa_de_Caraup NULL 42.6 1.65 SPUR 0
Planell_de_la_Tosa Planell_de_la_Tosa NULL 42.53333 1.45 UPLD 0
Canals_de_la_Tosa Canals_de_la_Tosa NULL 42.58333 1.7 RVN 0
Canal_de_la_Tosa Canal_de_la_Tosa NULL 42.5 1.56667 STM 0
Bosc_de_la_Tosa Bosc_de_la_Tosa NULL 42.55 1.58333 FRST 0
Canal_Torta Canal_Torta NULL 42.56667 1.51667 STM 0
Canal_Torta Canal_Torta NULL 42.53333 1.53333 STM 0
Torrent_Tort Torrent_Tort NULL 42.53333 1.58333 STM 0
Torretinyà Torretinya NULL 42.45 1.51667 LCTY 0
Prat_d’en_Torres Prat_d'en_Torres NULL 42.6 1.51667 GRAZ 0
Canals_de_Torrent_Pregó Canals_de_Torrent_Prego NULL 42.48333 1.48333 STM 0
Canal_de_Torrentinyà Canal_de_Torrentinya NULL 42.45 1.5 STM 0
Torrentill Torrentill NULL 42.46667 1.5 STM 0
Camí_de_Torrent_Forcat Cami_de_Torrent_Forcat NULL 42.46667 1.51667 TRL 0
Canal_del_Torrent_Cauber Canal_del_Torrent_Cauber NULL 42.6 1.51667 RVN 0
Torre_dels_Soldats Torre_dels_Soldats Pic_Monturull,Torre_dels_Soldats 42.45 1.58333 PK 0
Torrapuis Torrapuis NULL 42.53333 1.53333 LCTY 0
Pic_de_Torradella Pic_de_Torradella NULL 42.6 1.61667 PK 0
Pala_de_la_Torradella Pala_de_la_Torradella NULL 42.58333 1.61667 SLP 0
Obaga_de_Torradella Obaga_de_Torradella NULL 42.6 1.63333 SLP 0
Canals_de_Torradella Canals_de_Torradella NULL 42.6 1.63333 STM 0
Borda_del_Torner Borda_del_Torner NULL 42.58333 1.48333 FRM 0
Planell_de_la_Tora Planell_de_la_Tora NULL 42.55 1.6 UPLD 0
Clots_de_la_Tora Clots_de_la_Tora NULL 42.46667 1.58333 RVN 0
Prat_del_Toni Prat_del_Toni NULL 42.55 1.61667 GRAZ 0
Molí_del_Tomàs Moli_del_Tomas NULL 42.58333 1.65 ML 0
Cortals_de_Tolse Cortals_de_Tolse NULL 42.45 1.48333 CRRL 0
Bosc_de_Tolse Bosc_de_Tolse NULL 42.45 1.48333 FRST 0
Tolse Tolse NULL 42.45 1.48333 HUTS 0
Basera_dels_Tolls_de_l’Olla Basera_dels_Tolls_de_l'Olla NULL 42.48333 1.45 CLF 0
Tolls_de_l’Olla Tolls_de_l'Olla NULL 42.46667 1.56667 LCTY 0
Torrent_del_Tirader Torrent_del_Tirader NULL 42.53333 1.6 STM 0
Canal_del_Timbarro Canal_del_Timbarro NULL 42.5 1.46667 STM 0
Terres_de_Serra Terres_de_Serra NULL 42.48333 1.5 LCTY 0
Terres_de_Sant_Miguel Terres_de_Sant_Miguel NULL 42.5 1.58333 LCTY 0
Terres_del_Torrent_Pregó Terres_del_Torrent_Prego NULL 42.55 1.58333 LCTY 0
Terres_del_Solà Terres_del_Sola NULL 42.55 1.55 LCTY 0
Terres_de_Jacques Terres_de_Jacques NULL 42.56667 1.61667 LCTY 0
Obaga_de_les_Terres_de_Casamanya Obaga_de_les_Terres_de_Casamanya NULL 42.56667 1.55 SLP 0
Canal_del_Terrer_Roig Canal_del_Terrer_Roig NULL 42.58333 1.46667 STM 0
Terrer_Roig Terrer_Roig NULL 42.58333 1.45 LCTY 0
Clots_dels_Terregalls Clots_dels_Terregalls NULL 42.61667 1.61667 STMH 0
Terregalls Terregalls NULL 42.5 1.51667 LCTY 0
