Id_Zona Latitud Longitud Codi_Pais Nom_Pais
3 36.88360600 6.92805500 AG Algeria
3 36.88333100 6.95000000 AG Algeria
3 36.88499500 6.96277700 AG Algeria
3 36.91027100 7.13527800 AG Algeria
3 36.91305500 7.14749900 AG Algeria
3 36.91999800 7.17055500 AG Algeria
3 36.95416300 7.22055500 AG Algeria
3 36.96110500 7.22972200 AG Algeria
3 36.97777600 7.24500000 AG Algeria
3 36.99110400 7.25583300 AG Algeria
3 37.00388300 7.25861100 AG Algeria
3 37.00916300 7.25750000 AG Algeria
3 37.02749600 7.24888800 AG Algeria
3 37.03888700 7.22555500 AG Algeria
3 37.04499800 7.21527800 AG Algeria
3 37.05110900 7.20722200 AG Algeria
3 37.05832700 7.19888900 AG Algeria
3 37.07332600 7.18305500 AG Algeria
3 37.07749900 7.18250000 AG Algeria
3 37.08082600 7.18694400 AG Algeria
3 37.08361100 7.20611100 AG Algeria
3 37.08638800 7.22972200 AG Algeria
3 37.07943700 7.24805500 AG Algeria
3 37.07388300 7.25944400 AG Algeria
3 37.06777600 7.26999400 AG Algeria
3 37.07749900 7.28944400 AG Algeria
3 37.07694200 7.29555500 AG Algeria
3 37.04249600 7.46361100 AG Algeria
3 37.00499700 7.55388800 AG Algeria
3 36.99333200 7.57333300 AG Algeria
3 36.98249800 7.59361100 AG Algeria
3 36.97638700 7.61138800 AG Algeria
3 36.97499800 7.61805500 AG Algeria
3 36.96638500 7.72972200 AG Algeria
3 36.96555300 7.75750000 AG Algeria
3 36.96638500 7.76527700 AG Algeria
3 36.92777300 7.77249900 AG Algeria
3 36.87971900 7.77305300 AG Algeria
3 36.87638900 7.77722200 AG Algeria
3 36.86805000 7.79222200 AG Algeria
3 36.86193800 7.80999900 AG Algeria
3 36.85860400 7.82277800 AG Algeria
3 36.84749600 7.87666600 AG Algeria
3 36.84444400 7.93222100 AG Algeria
3 36.84499400 7.94833300 AG Algeria
3 36.84832800 7.96111100 AG Algeria
3 36.87138400 8.04250000 AG Algeria
3 36.87805200 8.06027600 AG Algeria
3 36.92194400 8.16027600 AG Algeria
3 36.94805100 8.21305500 AG Algeria
3 36.95333100 8.22333100 AG Algeria
3 36.95527600 8.22916600 AG Algeria
3 36.95443700 8.23694400 AG Algeria
3 36.91888400 8.39027600 AG Algeria
3 36.92138700 8.54583200 AG Algeria
3 36.94136800 8.62203000 AG Algeria
3 36.88194300 8.63222100 AG Algeria
3 36.83110800 8.63805400 AG Algeria
3 36.74360700 8.47638700 AG Algeria
3 36.72332800 8.47611000 AG Algeria
3 36.71721600 8.47527700 AG Algeria
3 36.66944100 8.45861100 AG Algeria
3 36.66471900 8.45583200 AG Algeria
3 36.65721900 8.44749800 AG Algeria
3 36.65193900 8.43805500 AG Algeria
3 36.60527000 8.35222100 AG Algeria
3 36.60277600 8.34722100 AG Algeria
3 36.57166300 8.25083200 AG Algeria
3 36.56721500 8.23138800 AG Algeria
3 36.56055500 8.21527700 AG Algeria
3 36.55166600 8.19999900 AG Algeria
